product_name,product_type,rating,title,review_text
Zesty Chilli Lime Seasoning,international seasoning,4.0,Liked it,"Some spice is a bit overpowering than chilli or lemon flavour. I couldn't understand what exactly, but there is bit of some other flavour which kicks in more. Not a big fan of that.But still, I did like the seasoning as a first time purchase."
Smoky Tandoori Masala Spice Mix,indian spices,5.0,Tandoori masala,"Excellent on veggies, tofu and paneer.Love the glass bottle."
Dried Garlic Powder,ground spices,5.0,Good product and value for money,Good product and value for money
Dried Garlic Powder,ground spices,5.0,Amazing packaging and flavour,"Love this product and how convenient it is to use. The flavour is amazing, I got this yesterday and already loving it."
Tingly Sichuan Peppercorn Seeds,whole spices,5.0,Good quality,Very good aroma. Gives a tingling taste and mild spice.
Bombay Sandwich Masala,indian spices,5.0,Has an amazing burst of aroma of pure spices which i loved!,"At our home, we absolutely love making the bombay sandwich quite frequently. I tried the Crista Bombay Sandwich Masala for the first time and was pleasantly surprised to see that the product has this amazing fresh burst of aroma the minute you open the pack. i could smell the fresh aroma of the spices and could tell that they are pure and unadulterated. absolutely loved the sandwich we made too! the masala is just right to suit Indian taste sensibilities i feel. Look forward to trying other products from Crista soon."
American Barbeque Spice Rub,international seasoning,4.0,Good,I received seasoning in very good innovative bottle which is very convenient to use. I made tandoori pasta with this and it came good. I can say it is a good product.
Woody Oregano Seasoning,international seasoning,5.0,Amazingggggggg!!!!!!!,"You can smell the aroma as soon as you open this bottle. It’s soooo tasty and fresh, tasted awesomeeeeeeee!!!!"
Tingly Sichuan Peppercorn Seeds,whole spices,1.0,Substandard Product,The peppercorns seems to be very old and totally dried up.It does not guve any fragrance or tingling taste.Bad product
American Barbeque Spice Rub,international seasoning,5.0,Very good flavour and aroma,"Very good flavour and aroma. Its blend of spices, including paprika, garlic, and cumin, creates a perfect balance of heat and sweetnes. No added colour. Good for veg and non veg dishes."
Mexican Taco Seasoning,international seasoning,5.0,Delicious!,"I used it to season tacos, and it was a game changer! Super flavourful and not unnecessarily salty either like other seasonings.Love the brand."
Roman Cacio e Pepe Seasoning,international seasoning,5.0,Mama Mia!! Truly authentic,Was teleported to bologna… loved this such an amazing surprise to get this authentic cacio pepe in India! CRISTA this was amazing!!
Bombay Sandwich Masala,indian spices,1.0,Dont try,Product is stale as soon after opening
Black Salt Powder,ground spices,4.0,Good,Value for money
Zesty Chilli Lime Seasoning,international seasoning,5.0,Impressive aroma and vibrant color!,"CRISTA Zesty Chilli Lime Seasoning not only tantalized my taste buds but also delighted my senses with its captivating aroma and vibrant color. Overall, it's a top-notch seasoning that delivers an unforgettable flavor experience without any artificial additives. Highly impressed!"
Zesty Chilli Lime Seasoning,international seasoning,4.0,Must buy product,"I live the packaging as well as the taste of this seasoning.I used this seasoning in many ways like to add more flavours in my potato fries, wedges, roasted papad, raita and makhana. The taste is very nice and new ."
Bombay Sandwich Masala,indian spices,5.0,Very good product,Different from Chaat Masala. This is the actual sandwich Masala
Zesty Chilli Lime Seasoning,international seasoning,4.0,Nice taste,"This is nice and fresh seasoning. Perfect for salads, chaats, marinades. It has good aroma and flavor. I liked it. It enhances the taste of every snack. Tanginess of lemon gives you nice taste."
Tangy Peri-Peri Spice Mix,international seasoning,5.0,Full of flavors,Perfect seasoning to add to homemade French fries. Also works well when sprinkled on pasta and noodles. The best part is that it has no preservatives.
Hing Powder,ground spices,5.0,Worth money,A bit strong hing than what i have been using. Gives quite a strong smell and taste with smaller quantities than my previous used hing..
Bombay Sandwich Masala,indian spices,5.0,Scrumptious & Chatpata,"The sandwich masala was on point, just enough salt (not too much!). Other sandwich masalas just feel like chat masala, this one has a unique flavor. It is scrumptious & chatpata, a handy delight! I'm looking forward to trying the other spices that Crista has as well."
Zesty Chilli Lime Seasoning,international seasoning,5.0,Taste and quality,Everything from packaging to taste to quality of this product is top notch
Tangy Peri-Peri Spice Mix,international seasoning,5.0,good taste,good tangy flavours
Umami Furikake Seasoning,international seasoning,5.0,Top notch quality,I have been enjoying this Furikake mix from crista. Tasted excellent on my grilled fish and on eggs too- ingredients are fresh and the smell when you open the bottle makes you feel like you have found a good quality spice which is rare to find.
Zesty Chilli Lime Seasoning,international seasoning,5.0,Spicy and flavourful,Thiss adds a Perfect Kick to Every Meal and It's not overwhelmingly spicy.It just elevates the most simple dishes too. The packaging also is very convenient and easy to use.
Zesty Chilli Lime Seasoning,international seasoning,4.0,Taste,tried this chili lime seasoning and got a good taste of tanginess & Spice...must try to add extra flavour of spice to everyday receipes.
Hing Powder,ground spices,5.0,Loved the hing,"Hing has been a essential part of food in our family , and i truly loved the hing by crista. What an amazing aroma ,the quality is top notch.It's good for health and the flavour is also good. No preservatives which is really good"
Zesty Chilli Lime Seasoning,international seasoning,5.0,Delicious 😋,Too good! Can use on many snacks for evening like savouries ..adds a nice fresh spice and lemon flavour to kick it up.
Shichimi Togarashi Seasoning,international seasoning,3.0,This is a poor imitation of togarashi at best,"This tastes of salt and not much else. No citrus aftertaste, no seaweedy umami goodness. It has a pretty glass package but nothing else.Avoid wasting your money on this."
Italian Pizza Seasoning,international seasoning,5.0,Good product..,Italian pizza seasoning is a Nice mix of herbs for pizza seasoning.. Tastes good with bread and salads too.. Love it shud definitely try.
Zesty Chilli Lime Seasoning,international seasoning,5.0,A great add on seasoning,The Crista chilly and lime seasoning has a lovely flavour and tastes great over salads or even just cut onions. This tastes great over fries too. Would definitely get it again.
Zesty Chilli Lime Seasoning,international seasoning,5.0,Amazing,Crista seasonings are very good and the packaging is awesome. Love the product.
Whole Mace Flowers,whole spices,5.0,Huge size flowers,"Amazing flavour, value for money, definitely going to try their other products!"
Dried Garlic Powder,ground spices,5.0,Fresh Garlic powder,Best garlic powder to enhance taste of any food. A little goes a long way.
Hing Powder,ground spices,4.0,Good,"The hing has mild flavour,not strong like it mentions in the pack. So you've to use more quantity. It is okay for everyday use. Packaging is great."
Tingly Sichuan Peppercorn Seeds,whole spices,5.0,Super Product,The Sichuan peppercorns are rare to find in India. Happy to see this and of very nice quality peppercorns on Amazon. Enhances most dishes with a delicious tingly flavour.
Hing Powder,ground spices,5.0,It’s a Must Buy,This one so good. Thanks Crista for introducing us to this Hing. It smells Pure.
Umami Furikake Seasoning,international seasoning,1.0,Very Bad Taste,Seasoning is not good. Not able to understand where exactly to use this.
Bombay Sandwich Masala,indian spices,5.0,Total Mumbaiyya Masala,I am so happy to say that the Crista Bombay Sandwich Masala adds a perfect taste to my sandwich & Parathas. It has all the basic ingredients which is needed to go on with the recipe. A perfect blend in good proportion with perfect taste. The pack was easy to use keeping in mind the convenience of consumerMay be salt can be added as per taste if necessary.
Shichimi Togarashi Seasoning,international seasoning,5.0,Excellent Japanese seasoning!,"If you enjoy making Japanese food at home, this is the perfect addition to you pantry! I add Crista's Togarashi seasoning to every Japanese dish I prepare; onigiri, sushi rice, poké bowl etc. It adds intense flavours without which a dish would be absolutely incomplete. I'm in love with this particular seasoning. I highly recommend it to anyone cooking Asian food at home. Simply perfect!"
Mexican Taco Seasoning,international seasoning,5.0,Perfect add to home made Mexican,"Most taco spice mixes don’t do anything. However, Crista is different. It has elevated our Mexican home made dinners! Great flavor!"
Tangy Peri-Peri Spice Mix,international seasoning,5.0,Strong flavour.,It's a good add on to the snacksStrong taste and colour.A good to go product for an extra spice and flavour.
Tellicherry Black Pepper Powder,ground spices,5.0,Best product,"I really liked this black pepper powder. It has strong aroma and it tastes fresh . It is best for salad ,soup and curd etc."
Zesty Chilli Lime Seasoning,international seasoning,5.0,“ perfect zesty flavour “,I used it for few items and it had the perfect mix of 2/3 different blends . A must try !
Dried Garlic Powder,ground spices,5.0,Received as said in advertisement,I liked the way it is packed.
American Barbeque Spice Rub,international seasoning,2.0,Bland,"The rub is good quality,but very bland for Indian taste. The manufacturer should develop and offer a more spicy variety."
Chowpatty Pav Bhaji Masala,indian spices,1.0,Kharab hai,Test not good
Zesty Chilli Lime Seasoning,international seasoning,1.0,0 stars,Tastes like very bad Maggie masala.Better buy Maggie masala if you're buying this product.Worst product.
Kashmiri Chilli Powder,ground spices,5.0,Best quality,Red chilli powder is usually so adulterated full of colour and so harmful to our health. So glad to have come across CRISTA Kashmiri red chili powder of the finest quality and no adulteration.
Southern Cajun Seasoning,international seasoning,5.0,Tangy and tasty,Used this to make barbecue style Cajun potatoes and they turned out to be amazing. Loved this seasoning.
Kashmiri Chilli Powder,ground spices,3.0,Improve purity for originality,*** purity improvements required
Khatmeeth Gujarati Dal Masala,indian spices,5.0,Fabulous,Crista spices never fail to impress. The spice blends alleviate any dish. The quality is amazing. Must buy!!
